Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Assists,Assists per 90,xA,xA per 90,Second assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",Successful attacking actions per 90,Goals,Goals per 90,Non-penalty goals,xG,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,GK Aerial duels per 90
Jemerson,Metz,CB,29,9,707,12.6,8.15,67.19,2.16,35.29,0.38,5.86,5.61,1.4,0,0,0.51,0.06,0,0,0,0.13,1.4,45.45,0.13,100,0.25,0,0.25,0,3.69,34.48,25.84,85.22,10.18,73.75,1.65,23.08,0.38,0,0,0,0.89,0.11,0.25,50,0,0,0,0.25,100,1.02,37.5,0.51,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jorge Cuenca,Getafe,CB,22,17,1552,12.18,7.89,72.06,4.18,61.11,0.35,5.97,6.69,0.93,0,0,0,0,0,0,0,0,4.99,48.84,0.23,25,0.23,25,0.12,0,6.84,66.95,30.27,77.78,13.69,63.56,6.38,45.45,0.23,1,0.06,1,1.1,0.06,0.52,44.44,11.111,0.17,0,0.06,0,0.7,25,0.81,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
José Fonte,Lille,CB,38,19,1851,8.9,4.23,68.97,3.94,67.9,0.58,5.2,6.83,0.34,2,0.1,0.08,0,0,0.05,0,0.1,4.13,65.88,0.39,62.5,0.24,40,0.29,0.05,6.27,65.89,46.14,89.67,14.64,78.74,4.96,59.8,0.15,0,0,0,0.7,0.03,0.29,33.33,0,0.19,25,0,0,0.49,50,0.73,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Cala,Cádiz,CB,32,11,929,9.4,5.04,63.46,3.49,55.56,0.78,5.62,5.86,0.97,0,0,0,0,0,0,0,0,3.88,55,0.19,0,0.29,0,0,0,5.72,64.41,22.77,79.15,10.37,64.49,5.43,51.79,0,0,0,0,0.48,0.05,0.39,0,0,0,0,0,0,0.68,85.71,0.48,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Cruz,Osasuna,CB,29,9,782,6.91,3.91,55.88,2.53,45.45,0.58,4.26,4.68,0.92,0,0,0.03,0,0,0,0,0,5.18,75.56,0.46,50,0.69,33.33,0,0.12,6.79,88.14,34.87,89.77,16.8,82.19,4.37,60.53,0.69,0,0,0,0.2,0.02,0.12,0,0,0.35,33.33,1.04,55.56,1.38,58.33,0.23,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Jesus,Napoli,CB,30,11,727,11.39,8.91,79.17,4.33,51.43,1.11,4.33,6.4,1.11,0,0,0,0,0,0,0,0,2.48,80,0.25,0,0.12,0,0,0,5.2,71.43,45.06,93.41,18.94,89.54,3.84,74.19,0,0,0,0,0.72,0.09,0.37,0,0,0,0,0,0,0.5,0,0.87,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Ajer,Brentford,CB,23,8,715,9.82,6.17,71.43,4.28,55.88,0,4.28,5.4,0.25,0,0,0.29,0.04,0,0.25,0,0,3.9,64.52,0.5,50,0.63,0,0.25,0.13,5.16,43.9,26.06,71.5,12.71,63.37,3.4,33.33,1.51,0,0,0,0.15,0.02,0.38,0,0,0.76,16.67,2.14,64.71,4.03,56.25,0.63,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Bonifazi,Bologna,CB,25,11,746,7.36,5.43,55.56,4.34,58.33,0.36,4.34,6.1,1.21,0,0,0,0,0,0.12,0,0.12,6.39,64.15,0.97,37.5,0.72,33.33,0.24,0.12,8.08,82.09,40.29,85.33,18.46,75.82,7.72,59.38,0.36,0,0,0,0.51,0.06,0.6,0,0,0.24,50,0.36,66.67,3.38,53.57,0.72,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Danso,Lens,CB,23,17,1501,9.83,6.3,62.86,3.24,62.96,0.72,5.7,6.99,1.32,0,0,0.01,0,0.06,0,0,0,3.3,67.27,0.18,66.67,0.18,66.67,0.12,0,8.03,64.93,52.7,88.96,18.05,76.08,5.04,57.14,0.72,0,0,0,0.92,0.05,0.24,25,0,0,0,0.84,78.57,2.28,65.79,0.48,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Djidji,Torino,CB,29,15,1247,12.05,9.67,70.15,4.19,53.45,0.36,4.98,7.14,1.08,0,0,0.02,0,0.07,0.07,0,0,5.56,70.13,0.87,58.33,0.22,0,0.14,0.43,6.35,76.14,42.44,88.27,15.88,78.18,4.76,56.06,1.08,0,0,0,0.43,0.03,0.51,28.57,0,0.87,58.33,0.87,50,3.18,38.64,0.51,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Günter,Hellas Verona,CB,27,15,1368,11.25,7.43,63.72,4.87,56.76,0.66,6.45,8.8,0.99,0,0,0.02,0,0,0.07,0,0,5.26,71.25,0.2,33.33,0.33,40,0.07,0.07,8.16,73.39,42.43,86.36,17.11,74.62,5,56.58,0.2,0,0,0,0.27,0.02,0.13,50,0,0.07,0,0.13,100,0.79,41.67,0.33,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Koulibaly,Napoli,CB,30,14,1309,8.25,4.54,69.7,2.89,52.38,1.03,4.81,7.29,1.17,2,0.14,0.7,0.05,0,0,0,0.21,7.36,79.44,0.21,66.67,0.21,66.67,0.28,0,8.66,79.37,57.41,91.98,24,87.39,5.09,59.46,1.03,2,0.14,2,1.09,0.08,0.34,80,40,0,0,1.03,73.33,1.86,59.26,0.96,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Mavropanos,Stuttgart,CB,24,15,1381,13.1,6.19,70.53,4.95,73.68,0.65,7.56,9.11,0.65,0,0,0.06,0,0.13,0.46,28.57,0,7.36,70.8,0.78,33.33,0.98,33.33,0.33,0,12.19,70.59,52.14,83.88,24.18,76.28,6.97,64.49,1.69,4,0.26,4,1.34,0.09,0.65,60,40,0.2,0,1.76,66.67,3.65,53.57,0.98,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Vogt,Hoffenheim,CB,30,16,1541,8.53,5.37,65.22,1.75,53.33,0.18,4.96,7.01,0.76,1,0.06,0.56,0.03,0.12,0.23,50,0.06,8.06,66.67,1.05,50,0.88,40,0.47,0.06,9.52,74.85,67.22,89.83,25.29,81.06,8.47,59.31,0.53,0,0,0,0.06,0,0.12,0,0,0.29,20,0.35,100,1.46,56,0,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K. Zouma,West Ham United,CB,27,11,1057,8.68,3.32,71.79,4.09,58.33,0.77,6.05,6.85,0.51,0,0,0,0,0,0,0,0,3.24,65.79,0.26,66.67,0.09,100,0,0.17,4.17,69.39,32.53,90.31,11.75,78.26,2.89,50,0.34,1,0.09,1,1.06,0.09,0.34,25,25,0.17,100,0.09,100,0.34,50,0.77,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Ayling,Leeds United,CB,30,10,973,11.84,7.49,70.37,3.98,46.51,1.66,6.1,8.8,0.09,1,0.09,0.11,0.01,0,0.18,100,0.09,9.16,64.65,1.2,53.85,1.02,45.45,0.28,0.46,12.3,75.19,57.9,84.35,28.3,78.76,11.38,57.72,1.57,1,0.09,1,0.28,0.03,0.46,40,20,1.11,41.67,1.02,72.73,3.24,42.86,0.37,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Badé,Rennes,CB,21,11,850,7.52,3.28,54.84,3.39,59.38,0.74,5.61,7.57,0.53,0,0,0.07,0.01,0,0.21,0,0.11,5.29,74,0.32,33.33,0.32,0,0,0.11,6.99,81.82,61.41,93.1,20.54,85.05,3.28,45.16,0.53,0,0,0,0.22,0.02,0.21,0,0,0.21,50,0.64,66.67,1.27,50,0.42,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Balerdi,Olympique Marseille,CB,22,12,848,9.87,6.47,59.02,3.82,44.44,0.32,5.73,9.2,1.17,1,0.11,0.13,0.01,0,0,0,0.11,5.73,79.63,0.11,0,0.21,50,0,0,6.05,77.19,70.05,93.79,20.38,87.5,6.9,66.15,0.85,0,0,0,0,0,0,0,0,0,0,1.49,57.14,3.08,48.28,0.32,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Bonucci,Juventus,CB,34,15,1453,6.88,4.58,64.86,4.52,56.16,0.74,3.78,4.88,0.74,0,0,0.52,0.03,0.06,0.06,100,0.12,6.69,74.07,0.62,60,0.68,45.45,0.56,0,10.47,78.7,51.41,90.36,20.75,80.9,9.23,69.13,0.31,3,0.19,0,3.55,0.22,0.56,33.33,33.333,0.12,0,0.19,33.33,0.74,41.67,0.74,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Brassier,Brest,CB,22,15,1152,8.75,6.8,66.67,3.98,58.82,0.55,4.22,4.95,0.86,0,0,0.28,0.02,0,0.23,33.33,0.08,6.41,63.41,1.09,35.71,0.86,36.36,0.55,0.23,8.2,77.14,43.98,87.39,16.02,75.61,7.73,60.61,0.55,0,0,0,0.15,0.01,0.31,0,0,0.39,40,0.47,66.67,1.25,62.5,0.63,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Cabrera,Espanyol,CB,30,20,1969,9.14,3.93,58.14,3.57,60.26,0.64,6.44,7.98,0.82,0,0,0.12,0.01,0.05,0,0,0.05,6.81,55.7,1.1,16.67,0.82,11.11,0.05,0.05,11.29,68.83,41.96,80.5,22.17,71.34,11.38,56.63,0.32,1,0.05,1,1.23,0.06,0.41,22.22,11.111,0.18,25,0.27,66.67,0.78,58.82,0.59,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Ceppitelli,Cagliari,CB,32,15,1162,10.38,6.35,68.29,4.1,50.94,0.85,5.65,6.52,0.85,0,0,0,0,0,0,0,0,4.88,63.49,0.93,33.33,0.85,27.27,0.08,0.15,7.13,60.87,43.92,87.48,15.49,78.5,5.27,45.59,0.39,1,0.08,1,0.38,0.03,0.23,33.33,33.333,0.31,50,0.15,100,0.85,45.45,0.31,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Cooper,Leeds United,CB,30,15,1381,10.56,8.15,66.4,6.32,60.82,1.04,4.43,6.87,0.85,1,0.07,0.04,0,0,0,0,0.07,5.28,59.26,0.13,0,0.52,12.5,0.13,0,7.95,64.75,54.09,88.55,19.36,74.41,6.78,50.96,0.26,1,0.07,1,0.41,0.03,0.33,20,20,0.07,0,0.26,75,0.85,69.23,0.78,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Dunk,Brighton,CB,30,14,1368,7.04,2.83,72.09,3.82,63.79,0.99,4.61,6.77,0.33,0,0,0.17,0.01,0,0.26,75,0.07,5.99,69.23,0.46,42.86,0.53,37.5,0.13,0.07,7.37,75,63.62,92.66,21.32,83.33,4.54,53.62,0.59,0,0,0,1.03,0.07,0.33,60,0,0.13,50,0.26,50,1.12,35.29,0.66,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Hernández,Bayern München,CB,25,14,1173,9.67,6.83,71.91,3.15,51.22,0.54,4.45,7.13,0.84,0,0,0.24,0.02,0,0.23,100,0.15,11.89,80.65,1,61.54,0.61,62.5,0.46,0.15,14.04,84.7,80.95,92.7,32.61,88.24,6.52,57.65,1.38,0,0,0,0,0,0,0,0,0.15,100,1.61,61.9,3.84,66,0.08,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Kilian,Köln,CB,22,15,934,10.02,7.42,63.64,5.49,50.88,0.58,4.91,8.23,0.48,0,0,0.02,0,0,0.19,0,0,5.01,59.62,0.29,66.67,0.58,33.33,0.39,0,6.65,68.12,49.53,87.74,17.06,72.88,7.52,51.28,0.39,0,0,0,0.63,0.06,0.29,0,0,0,0,0.48,80,1.16,58.33,0.39,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Koscielny,Bordeaux,CB,36,11,996,9.4,4.25,51.06,2.62,55.17,0.99,6.51,7.61,0.99,0,0,0.23,0.02,0,0.27,33.33,0,3.25,66.67,0.45,20,0.36,0,0.09,0.09,7.59,79.76,46.63,91.28,16.27,81.11,4.7,61.54,0.54,0,0,0,0.2,0.02,0.09,0,0,0.09,100,0.45,80,0.9,60,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Martínez Quarta,Fiorentina,CB,25,14,1266,9.03,7.54,60.38,5.4,50,0.57,3.98,6.25,1.71,0,0,0.84,0.06,0,0.07,100,0.14,5.69,86.25,0.21,100,0.21,33.33,0.36,0,10.31,80,63.34,92.59,21.68,88.2,7.11,72,1.07,1,0.07,1,1.86,0.13,0.78,36.36,9.091,0.14,0,1.07,66.67,2.63,51.35,1.35,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L. Perrin,Strasbourg,CB,23,15,1195,8.36,6.93,53.26,3.39,57.78,0.3,4.22,5.15,1.51,0,0,0.39,0.03,0,0,0,0.15,7.15,73.68,1.05,71.43,0.38,60,0.6,0.3,7.83,91.35,44.81,91.26,18,83.68,5.72,64.47,0.9,0,0,0,0.22,0.02,0.3,25,0,0.38,80,0.68,77.78,1.58,71.43,0.38,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luiz Felipe,Lazio,CB,24,18,1696,9.34,5.2,54.08,2.81,47.17,1.22,5.63,6.67,1.11,0,0,0.19,0.01,0,0.05,0,0.05,4.88,85.87,0.27,80,0.32,66.67,0.27,0.05,7.64,72.92,55.24,92.03,20.96,85.06,3.02,61.4,0.11,0,0,0,0.21,0.01,0.11,0,0,0.11,50,0.11,50,0.9,41.18,0.27,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Akanji,Borussia Dortmund,CB,26,15,1403,8.98,5.97,79.57,3.46,50,0.45,3.85,5.86,0.64,0,0,0,0,0,0.19,33.33,0.06,7.83,77.87,0.96,26.67,0.9,28.57,0.19,0.06,10.2,84.28,68.64,92.9,26.11,86.49,5.84,65.93,0.45,0,0,0,1.24,0.08,0.58,22.22,0,0.06,100,0.45,42.86,1.8,42.86,0.83,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Bauer,Greuther Fürth,CB,21,15,1290,11.02,6.91,69.7,4.88,54.29,0.56,5.51,6.49,1.12,0,0,0,0,0,0,0,0,3.35,58.33,0.28,25,0.28,25,0.21,0,6.35,68.13,38.37,86.55,14.65,77.14,5.16,60.81,0.07,0,0,0,0.53,0.04,0.28,25,0,0,0,0,0,1.05,46.67,0.56,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Cáceres,Cagliari,CB,34,14,895,9.05,5.23,57.69,1.71,41.18,0.5,5.43,6.21,0.7,1,0.1,0.65,0.07,0,0,0,0.2,8.15,66.67,1.81,27.78,0.4,50,0.2,0.3,9.25,67.39,37.71,75.47,17.2,63.74,7.84,51.28,0.8,1,0.1,1,0.22,0.02,0.6,16.67,16.667,1.61,25,0.4,75,1.61,62.5,0.8,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Caldara,Venezia,CB,27,16,1449,11.8,6.89,72.07,3.54,45.61,0.87,6.71,7.4,0.62,0,0,0.19,0.01,0,0,0,0,3.35,70.37,0.12,50,0.12,50,0.12,0,6.83,59.09,38.07,86.3,16.09,76.83,5.65,60.44,0.37,1,0.06,1,1.35,0.08,0.56,55.56,11.111,0,0,0.37,16.67,1.61,38.46,0.87,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. de Ligt,Juventus,CB,22,17,1574,7.83,5.03,69.32,5.43,55.79,0.57,3.95,5.58,1.09,0,0,0.74,0.04,0,0,0,0.11,5.78,76.24,0.34,33.33,0.23,25,0.23,0.06,7.66,76.12,54.61,91.41,19.73,82.9,4.8,57.14,0.57,1,0.06,1,1.59,0.09,0.69,41.67,8.333,0.17,33.33,0.4,57.14,0.8,35.71,1.32,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Demiral,Atalanta,CB,23,13,1116,13.23,10,76.61,6.77,66.67,0.56,5.08,6.82,1.53,1,0.08,0.31,0.02,0,0,0,0.08,1.69,66.67,0.24,100,0,0,0.32,0,3.06,55.26,32.02,90.43,7.66,76.84,1.69,66.67,0.32,1,0.08,1,1.98,0.16,0.81,30,10,0,0,0.24,33.33,1.21,46.67,1.29,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Diakhaby,Valencia,CB,25,16,928,12.8,7.66,67.09,3.39,45.71,1.07,7.18,9.41,1.26,1,0.1,0.09,0.01,0,0,0,0.1,5.63,56.9,0.58,16.67,0.29,66.67,0.19,0.1,5.92,70.49,29.48,81.25,11.73,65.29,5.04,44.23,0.87,0,0,0,0.5,0.05,0.29,33.33,0,0.29,33.33,0.97,70,2.13,59.09,0.97,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Erlić,Spezia,CB,23,14,1274,10.6,6.15,68.97,4.1,50,0.92,6.36,6.92,0.99,0,0,0,0,0,0,0,0.07,2.9,51.22,0.14,0,0.35,20,0.07,0,4.8,57.35,34.54,86.71,12.29,71.26,4.87,53.62,0.28,1,0.07,1,0.61,0.04,0.35,40,20,0,0,0.14,100,0.49,42.86,0.35,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Esteve,Montpellier,CB,19,13,1013,8.44,5.06,59.65,2.4,59.26,0.89,5.42,6.61,0.44,0,0,0,0,0,0,0,0,2.22,60,0.18,50,0.27,33.33,0.09,0,3.82,58.14,30.38,86.84,8.97,67.33,2.04,52.17,0.18,0,0,0,0,0,0,0,0,0,0,0.18,100,0.62,57.14,0.18,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Friedrich,Union Berlin,CB,26,13,1252,11.79,6.9,73.96,5.97,54.22,0.29,6.11,6.71,0.86,0,0,0.75,0.05,0,0.14,50,0.14,6.61,61.96,0.58,37.5,0.72,10,0.22,0.22,10.21,76.76,42.41,83.73,21.57,75,8.48,61.86,0.86,0,0,0,0.99,0.07,0.65,44.44,0,0.43,50,0.58,50,2.23,29.03,0.86,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Ginter,Borussia M'gladbach,CB,27,16,1507,9.5,5.02,72.62,4.66,61.54,0.36,5.55,7.5,0.18,0,0,1.05,0.06,0.06,0.48,37.5,0.3,9.26,61.94,1.61,40.74,1.55,38.46,0.48,0.3,12.48,77.03,62.11,86.44,25.74,77.03,9.14,53.59,1.49,0,0,0,1.43,0.09,1.19,45,0,0.84,42.86,0.72,58.33,2.09,51.43,1.25,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Guéhi,Crystal Palace,CB,21,20,1955,7.41,3.64,78.48,3.54,54.55,0.83,3.82,5.37,0.41,0,0,0.07,0,0,0.05,0,0.05,5.25,79.82,0.41,33.33,0.41,11.11,0.18,0,9.44,67.8,54,90.11,20.99,81.14,5.8,61.9,0.92,2,0.09,2,1.56,0.07,0.32,42.86,28.571,0.09,0,0.92,85,2.72,55.93,0.55,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Gulde,Freiburg,CB,30,13,851,9.94,8.46,65,4.02,63.16,0.63,4.23,5.26,1.16,0,0,0.12,0.01,0,0,0,0.11,4.12,76.92,0.53,60,0.42,75,0.32,0.11,7.3,63.77,35.43,86.57,12.59,77.31,4.44,66.67,0.32,0,0,0,0.14,0.02,0.11,0,0,0.11,100,0.21,100,0.63,66.67,0.42,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Hasebe,Eintracht Frankfurt,CB,37,10,699,14.16,9.79,68.42,5.28,53.66,0.52,6.82,8.69,1.42,0,0,0.09,0.01,0,0.26,0,0.26,6.44,74,0.77,66.67,1.03,37.5,0.26,0,9.66,73.33,58.45,87.44,18.28,73.94,7.21,69.64,0.52,0,0,0,0,0,0,0,0,0.26,50,0.52,75,1.29,50,0,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Hinteregger,Eintracht Frankfurt,CB,29,15,1453,11.83,7.25,59.83,4.03,53.85,0.68,6.88,8.74,1.05,0,0,0.31,0.02,0,0,0,0.06,7.19,61.21,0.74,41.67,0.81,30.77,0.43,0.06,10.22,69.09,45.28,81.67,21.18,71.05,8.73,55.32,0.5,1,0.06,1,0.74,0.05,0.68,18.18,9.091,0.06,100,0.62,50,1.92,64.52,0.87,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Hummels,Borussia Dortmund,CB,33,16,1307,10.88,6.89,77,5.99,60.92,0.48,4.96,7.53,0.69,1,0.07,0.26,0.02,0.07,0.21,0,0.14,5.58,62.96,0.83,16.67,1.17,29.41,0.14,0,7.57,70.91,68.86,90.5,22.04,79.06,6.27,63.74,0.9,1,0.07,1,0.97,0.07,0.41,50,16.667,0.14,0,0.9,76.92,1.79,61.54,0.9,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Jenz,Lorient,CB,22,9,822,9.2,7.12,64.62,3.72,52.94,0.55,4.49,5.35,1.53,0,0,0.01,0,0,0.22,0,0,3.28,53.33,0.11,0,0.22,0,0,0,5.47,68,38.32,87.43,15.11,76.09,3.72,38.24,0.33,1,0.11,1,0.46,0.05,0.33,33.33,33.333,0,0,0.33,66.67,1.09,30,0.66,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Keane,Everton,CB,29,18,1754,10.06,5.08,79.8,4.87,63.16,1.08,5.75,6.63,0.26,1,0.05,0.24,0.01,0,0.1,50,0.1,6.26,63.93,0.62,50,0.67,38.46,0.15,0,7.59,70.95,32.17,82.62,14.93,70.1,6.57,60.94,0.46,1,0.05,1,1.16,0.06,0.62,33.33,8.333,0.05,0,0.31,66.67,0.92,33.33,0.56,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Kempf,Stuttgart,CB,26,12,892,13.02,9.79,70.1,5.35,58.49,1.21,6.15,7.69,1.31,0,0,0.33,0.03,0,0.4,50,0.2,9.38,70.97,1.82,33.33,1.11,27.27,0.5,0.1,10.39,74.76,53.48,85.47,24.01,77.31,6.05,50,1.21,3,0.3,3,1.73,0.17,1.31,46.15,23.077,0.4,25,1.01,30,2.22,40.91,1.72,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Kilman,Wolverhampton Wanderers,CB,24,19,1869,9.82,5.59,75,3.23,58.21,0.34,5.3,6.36,0.53,0,0,0.02,0,0,0.1,50,0,4.14,80.23,0.34,28.57,0.48,40,0.1,0.05,7.42,74.03,41.46,89.08,17.09,81.41,3.52,56.16,0.77,1,0.05,1,1.47,0.07,0.34,42.86,14.286,0.14,33.33,0.82,64.71,2.07,48.84,0.53,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Lacroix,Wolfsburg,CB,21,15,1403,12.64,8.28,72.09,4.75,47.3,0.51,6.48,8.94,1.35,0,0,0.02,0,0,0.13,50,0,6.41,68,0.83,15.38,0.77,0,0.19,0,10.52,67.07,51.96,83.95,20.72,69.97,7.63,58.82,1.22,0,0,0,0.63,0.04,0.45,0,0,0.38,0,2.31,50,4.36,48.53,0.64,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Le Marchand,Strasbourg,CB,32,8,699,8.37,5.15,62.5,2.45,52.63,0.39,4.38,5.05,1.16,0,0,0.07,0.01,0,0,0,0.13,3.48,66.67,0.64,60,0.13,100,0.26,0.13,6.7,71.15,45.19,89.17,21.5,83.23,7.34,63.16,0.64,1,0.13,1,0.23,0.03,0.39,66.67,33.333,0.64,20,0.26,100,1.03,37.5,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Miazga,Deportivo Alavés,CB,26,9,714,10.97,5.55,72.73,4.03,75,1.01,6.43,7.89,0.63,0,0,0.01,0,0,0,0,0,2.02,37.5,0.13,0,0,0,0.13,0,4.92,53.85,30.76,84.43,12.1,71.88,4.03,46.88,0.38,0,0,0,0.65,0.08,0.63,60,0,0,0,0,0,0.25,100,0.88,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M. Nade,Saint-Étienne,CB,22,12,1043,10.61,6.39,75.68,4.92,56.14,0.52,5.61,7.74,0.95,0,0,0,0,0,0.09,0,0,2.85,51.52,0.26,33.33,0.86,20,0.09,0,4.06,63.83,34.17,87.12,12.68,74.83,3.62,50,0.6,1,0.09,1,0.93,0.08,0.35,25,25,0,0,0.78,66.67,2.59,66.67,0.43,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
