Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Assists,Assists per 90,xA,xA per 90,Second assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",Successful attacking actions per 90,Goals,Goals per 90,Non-penalty goals,xG,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,GK Aerial duels per 90
Y. Bissouma,Brighton,CM,25,14,1313,10.14,6.1,70.79,1.51,63.64,0,4.8,7.45,0.96,1,0.07,0.07,0,0,0.55,37.5,0.07,5.89,80.23,1.03,53.33,0.82,25,0.55,0.07,4.8,78.57,46.27,90.07,11.65,78.24,2.12,51.61,1.71,0,0,0,0.52,0.04,0.96,21.43,0,0.07,100,2.81,43.9,6.79,42.42,0.55,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Y. Fofana,Monaco,CM,22,16,975,8.4,7.66,65.06,1.85,55,0.09,3.42,4.49,1.38,3,0.28,0.11,0.01,0,1.38,26.67,0.28,11.45,63.71,2.22,41.67,2.4,26.92,1.11,0.09,8.58,76.34,50.22,78.13,17.08,61.62,5.35,39.66,2.4,0,0,0,0.41,0.04,1.02,27.27,0,0.37,50,2.49,62.96,7.11,49.35,0.28,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Y. Neyou,Saint-Étienne,CM,24,13,944,10.01,6.2,60,1.43,46.67,0.19,5.15,6.72,1.24,0,0,0.13,0.01,0,0,0,0,4.67,73.47,0.67,42.86,0.29,33.33,0.1,0.1,4.77,64,43.95,87.42,11.25,77.12,3.24,55.88,1.43,0,0,0,0.17,0.02,0.57,33.33,0,0.38,25,1.91,60,5.15,50,0.19,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Y. Tielemans,Leicester City,CM,24,14,1271,7.65,6.02,63.53,1.63,47.83,0.5,3.12,3.94,0.78,2,0.14,2.03,0.14,0,1.27,50,0.57,7.36,75,2.9,51.22,1.49,28.57,1.13,0.71,9.7,73.72,49.64,84.45,16.5,75.11,3.47,38.78,2.97,5,0.35,4,2.95,0.21,2.05,34.48,17.241,1.13,50,1.77,60,5.74,49.38,0.99,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Z. Youssouf,Saint-Étienne,CM,22,15,898,8.42,7.02,60,2,45,0.3,3.31,4.44,1,0,0,0.19,0.02,0,0.6,33.33,0.1,5.51,76.36,1.6,62.5,1.1,72.73,0.7,0,6.11,65.57,43.3,87.04,10.42,71.15,5.91,76.27,2.51,0,0,0,0.35,0.04,1.3,23.08,0,0.5,0,3.51,57.14,9.42,40.43,0.1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A. Consigli,Sassuolo,GK,34,20,1935,1.49,0.14,66.67,0.19,100,0,1.4,2.03,0.05,0,0,0,0,0,0,0,0,1.63,34.29,0.19,25,0.33,0,0.05,0,5.86,67.46,26.23,87.06,12.6,75.28,8.33,64.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,30,1.4,25.32,1.18,-4.68,-0.218,80,3.72,2,62.5,1.02,0.19
A. Cragno,Cagliari,GK,27,19,1831,1.92,0.1,50,0.39,87.5,0,1.87,2.12,0.05,0,0,0,0,0,0,0,0,1.72,65.71,0,0,0.05,0,0,0,7.18,79.45,18.38,85.56,12.58,80.08,9.24,73.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.87,29.07,1.43,-8.93,-0.439,91,4.47,0,58.24,1.33,0.39
A. Desmas,Clermont,GK,27,13,1250,0.79,0.14,50,0.22,100,0,0.72,0.88,0,0,0,0,0,0,0,0,0,1.3,44.44,0,0,0.22,0,0,0,3.17,68.18,15.62,87.1,8.78,79.51,4.46,58.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,26,1.87,21.81,1.57,-4.19,-0.302,59,4.25,3,55.93,0.65,0.22
A. Gomis,Rennes,GK,28,18,1719,1.47,0.05,0,0.31,100,0,1.47,2.07,0,0,0,0,0,0,0,0,0,0.26,20,0.05,0,0.05,0,0,0,3.87,83.78,19.53,94.37,9.06,88.44,5.45,81.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,16,0.84,19.37,1.01,3.37,0.176,55,2.88,8,70.91,1.1,0.31
A. Lafont,Nantes,GK,22,21,2004,1.62,0.36,37.5,0.76,94.12,0,1.39,1.51,0,0,0,0,0,0,0,0,0,3.19,59.15,0.22,20,0.13,33.33,0,0,4.85,78.7,15.67,81.38,10.51,73.93,7.05,59.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.08,23.78,1.07,-0.22,-0.01,88,3.95,5,72.73,1.57,0.76
